ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-05-05,198.9149863493556,254.2358834780407,415.0148551297558,198.02823556455465,199.70841977877387,0.170106,0.170106,0.170106,0.6717189264187977,0.6717189264187977,0.6717189264187977,0.016828984294402733,0.016828984294402733,0.016828984294402733,0.4847839421243948,0.4847839421243948,0.4847839421243948,0.0,0.0,0.0,332.5299474285545
2020-05-06,198.96319557005486,245.25636198884035,413.2135823437404,198.0663787733007,199.77015229437015,0.170106,0.170106,0.170106,0.6444876405637594,0.6444876405637594,0.6444876405637594,-0.01261837358090495,-0.01261837358090495,-0.01261837358090495,0.4870000141446643,0.4870000141446643,0.4870000141446643,0.0,0.0,0.0,327.1925160420254
2020-05-07,199.01140479075417,251.9611951545238,412.49953952285716,198.1032060441563,199.82990966380595,0.170106,0.170106,0.170106,0.6576231535179624,0.6576231535179624,0.6576231535179624,-0.0006760900000002479,-0.0006760900000002479,-0.0006760900000002479,0.48819324351796256,0.48819324351796256,0.48819324351796256,0.0,0.0,0.0,329.88591239528967
2020-05-08,199.05961401145342,248.12054663080843,412.8326665970999,198.14004550882902,199.88914627841783,0.170106,0.170106,0.170106,0.6426368577521523,0.6426368577521523,0.6426368577521523,-0.01600609977930003,-0.01600609977930003,-0.01600609977930003,0.48853695753145226,0.48853695753145226,0.48853695753145226,0.0,0.0,0.0,326.9826588651302
2020-05-09,199.10782323215267,248.8130678429469,408.4070074063594,198.17699060423803,199.94838289302967,0.170106,0.170106,0.170106,0.6477917709568605,0.6477917709568605,0.6477917709568605,-0.010534319059939902,-0.010534319059939902,-0.010534319059939902,0.4882200900168004,0.4882200900168004,0.4882200900168004,0.0,0.0,0.0,328.08823265507436
2020-05-10,199.15603245285197,248.6622958337935,412.62509596360286,198.21393569964704,200.00718744406888,0.170106,0.170106,0.170106,0.6653549105938501,0.6653549105938501,0.6653549105938501,0.007806243580132749,0.007806243580132749,0.007806243580132749,0.48744266701371736,0.48744266701371736,0.48744266701371736,0.0,0.0,0.0,331.6654766197452
2020-05-11,199.20424167355122,254.6438488625713,420.3993089505511,198.25088079505605,200.0665915132142,0.170106,0.170106,0.170106,0.6717166959797874,0.6717166959797874,0.6717166959797874,0.015199654545679182,0.015199654545679182,0.015199654545679182,0.4864110414341082,0.4864110414341082,0.4864110414341082,0.0,0.0,0.0,333.01305671566814
2020-05-12,199.25245089425053,237.73612093085666,410.4064540027393,198.2904235384802,200.1255222596588,0.170106,0.170106,0.170106,0.6722679819274296,0.6722679819274296,0.6722679819274296,0.016828984294372094,0.016828984294372094,0.016828984294372094,0.4853329976330574,0.4853329976330574,0.4853329976330574,0.0,0.0,0.0,333.2034939510226
2020-05-13,199.30066011494978,245.05340385689564,415.40057698376995,198.33022120960078,200.18201821285302,0.170106,0.170106,0.170106,0.6419004761002244,0.6419004761002244,0.6419004761002244,-0.012618373580878542,-0.012618373580878542,-0.012618373580878542,0.4844128496811029,0.4844128496811029,0.4844128496811029,0.0,0.0,0.0,327.231848729825
2020-05-14,199.34886933564906,251.3541651135429,414.64549083260744,198.37001888072135,200.24417878180776,0.170106,0.170106,0.170106,0.6532765667683407,0.6532765667683407,0.6532765667683407,-0.0006760899999805553,-0.0006760899999805553,-0.0006760899999805553,0.48384665676832106,0.48384665676832106,0.48384665676832106,0.0,0.0,0.0,329.5788142843924
